Category,Message
ham,I will see in half an hour
spam,You have 1 new voicemail. Please call 08719181513.
spam,WINNER #367467: Won $17968 in lottery. Claim immediately!
ham,True. Its easier with her here.
spam,Invoice #859006: Payment $24793 overdue 7 days. Pay immediately or legal action.
ham,Already am squatting is the new way of walking
spam,WINNER #611466: Won $5358 in lottery. Claim immediately!
spam,Loan $92585 approved. 9.39% APR. App #468046. Processing $416.
spam,Loan $56391 approved. 8.30% APR. App #501918. Processing $657.
spam,WINNER #826800: Won $14858 in lottery. Claim immediately!
spam,Todays Voda numbers ending 1225 are selected to receive a £50award. If you have a match please call 08712300220 quoting claim code 3100 standard rates app
ham,Can we meet for coffee on Monday? Let me know. Thanks! Ref: 376251
ham,Assignment due Monday. Course #465753. Submit via portal.
ham,", how's things? Just a quick question."
spam,Invoice #131901: Payment $59424 overdue 5 days. Pay immediately or legal action.
ham,That means from february to april i'll be getting a place to stay down there so i don't have to hustle back and forth during audition season as i have since my sister moved away from harlem.
ham,Please review report by Monday. Task #750416. Thanks!
spam,"Bitcoin investment #666493: Deposit 0.5 BTC, withdraw 5 BTC in 30 days guaranteed."
ham,K..k:)how about your training process?
ham,Please review report by Friday. Task #215546. Thanks!
spam,Foreclosure #150827: Pay $40011 by Friday or property auctioned. Call now.
ham,Okay... I booked all already... Including the one at bugis.
ham,"I feel like a dick because I keep sleeping through your texts and facebook messages. Sup, you in town?"
ham,Can we meet for coffee on Friday? Let me know. Thanks! Ref: 184987
ham,I want to tel u one thing u should not mistake me k THIS IS THE MESSAGE THAT YOU SENT:)
spam,Invoice #582803: Payment $4148 overdue 4 days. Pay immediately or legal action.
spam,WINNER #912564: Won $63393 in lottery. Claim immediately!
spam,"Bitcoin investment #193112: Deposit 0.5 BTC, withdraw 5 BTC in 30 days guaranteed."
ham,Assignment due Friday. Course #803708. Submit via portal.
ham,"Sez, hows u & de arab boy? Hope u r all good give my love 2 evry1 love ya eshxxxxxxxxxxx"
ham,HI DARLIN ITS KATE ARE U UP FOR DOIN SOMETHIN TONIGHT? IM GOING TO A PUB CALLED THE SWAN OR SOMETHING WITH MY PARENTS FOR ONE DRINK SO PHONE ME IF U CAN
ham,Order #918792 shipped. Arrives Tuesday. Total: $358. Track online.
spam,Invoice #709026: Payment $56279 overdue 5 days. Pay immediately or legal action.
spam,Urgent! Please call 09061213237 from landline. £5000 cash or a luxury 4* Canary Islands Holiday await collection. T&Cs SAE PO Box 177. M227XY. 150ppm. 16+
spam,"Bitcoin investment #862066: Deposit 0.5 BTC, withdraw 5 BTC in 30 days guaranteed."
spam,Invoice #563823: Payment $11382 overdue 4 days. Pay immediately or legal action.
ham,Where is that one day training:-)
ham,I am not at all happy with what you saying or doing
spam,"Bitcoin investment #441103: Deposit 0.5 BTC, withdraw 5 BTC in 30 days guaranteed."
ham,Can we meet for coffee on Tuesday? Let me know. Thanks! Ref: 295149
ham,Mum ask ü to buy food home...
spam,Foreclosure #985759: Pay $45681 by Friday or property auctioned. Call now.
ham,I can take you at like noon
ham,"Mmmmm ... I loved waking to your words this morning ! I miss you too, my Love. I hope your day goes well and you are happy. I wait for us to be together again"
ham,Please review report by Tuesday. Task #821816. Thanks!
ham,Order #741980 shipped. Arrives Monday. Total: $470. Track online.
ham,Assignment due Monday. Course #769701. Submit via portal.
ham,Order #278665 shipped. Arrives Friday. Total: $102. Track online.
ham,I'm gonna rip out my uterus.
ham,Order #101323 shipped. Arrives Tuesday. Total: $453. Track online.
spam,Foreclosure #746256: Pay $94971 by Friday or property auctioned. Call now.
ham,Order #546338 shipped. Arrives Tuesday. Total: $426. Track online.
ham,Please review report by Tuesday. Task #407276. Thanks!
ham,Honestly i've just made a lovely cup of tea and promptly dropped my keys in it and then burnt my fingers getting them out!
spam,WINNER #648144: Won $72109 in lottery. Claim immediately!
ham,Going to take your babe out ?
spam,Invoice #862425: Payment $99509 overdue 5 days. Pay immediately or legal action.
ham,Can we meet for coffee on Monday? Let me know. Thanks! Ref: 965318
ham,Order #347939 shipped. Arrives Monday. Total: $37. Track online.
ham,Please review report by Friday. Task #457741. Thanks!
ham,Order #599167 shipped. Arrives Friday. Total: $253. Track online.
spam,"Bitcoin investment #905622: Deposit 0.5 BTC, withdraw 5 BTC in 30 days guaranteed."
spam,"Bitcoin investment #639955: Deposit 0.5 BTC, withdraw 5 BTC in 30 days guaranteed."
ham,Order #923237 shipped. Arrives Monday. Total: $420. Track online.
ham,Aah bless! How's your arm?
spam,Foreclosure #642102: Pay $69957 by Friday or property auctioned. Call now.
ham,Assignment due Friday. Course #915139. Submit via portal.
ham,Please review report by Tuesday. Task #587325. Thanks!
ham,Can we meet for coffee on Tuesday? Let me know. Thanks! Ref: 657139
ham,Yar lor... Keep raining non stop... Or u wan 2 go elsewhere?
spam,Foreclosure #730417: Pay $98423 by Friday or property auctioned. Call now.
ham,Neshanth..tel me who r u?
ham,"Height of Confidence: All the Aeronautics professors wer calld &amp; they wer askd 2 sit in an aeroplane. Aftr they sat they wer told dat the plane ws made by their students. Dey all hurried out of d plane.. Bt only 1 didnt move... He said:""if it is made by my students,this wont even start........ Datz confidence.."
ham,Can we meet for coffee on Monday? Let me know. Thanks! Ref: 928269
ham,God created gap btwn ur fingers so dat sum1 vry special will fill those gaps by holding ur hands.. Now plz dont ask y he created so much gap between legs !!!
ham,For fear of fainting with the of all that housework you just did? Quick have a cuppa
ham,"Uncle G, just checking up on you. Do have a rewarding month"
ham,"Dont search love, let love find U. Thats why its called falling in love, bcoz U dont force yourself, U just fall and U know there is smeone to hold U... BSLVYL"
ham,Missed your call cause I was yelling at scrappy. Miss u. Can't wait for u to come home. I'm so lonely today.
spam,WINNER #876550: Won $84318 in lottery. Claim immediately!
spam,Invoice #918913: Payment $26202 overdue 2 days. Pay immediately or legal action.
ham,I'll text now! All creepy like so he won't think that we forgot
ham,Order #199717 shipped. Arrives Friday. Total: $270. Track online.
spam,Student loan #421476 forgiveness $85628 approved. Claim with $284 processing fee.
ham,"Ok, be careful ! Don't text and drive !"
ham,I'm wif him now buying tix lar...
ham,Order #695729 shipped. Arrives Tuesday. Total: $544. Track online.
spam,Invoice #193396: Payment $28578 overdue 2 days. Pay immediately or legal action.
spam,"Bitcoin investment #874907: Deposit 0.5 BTC, withdraw 5 BTC in 30 days guaranteed."
spam,Foreclosure #327649: Pay $52644 by Friday or property auctioned. Call now.
spam,Loan $43159 approved. 9.21% APR. App #718511. Processing $763.
spam,URGENT! We are trying to contact you. Last weekends draw shows that you have won a £900 prize GUARANTEED. Call 09061701939. Claim code S89. Valid 12hrs only
ham,Assignment due Monday. Course #312342. Submit via portal.
ham,Can we meet for coffee on Friday? Let me know. Thanks! Ref: 193337
ham,Assignment due Monday. Course #669603. Submit via portal.
ham,Order #817383 shipped. Arrives Friday. Total: $387. Track online.
spam,Loan $95459 approved. 9.58% APR. App #338269. Processing $328.
spam,URGENT! We are trying to contact U. Todays draw shows that you have won a £2000 prize GUARANTEED. Call 09066358361 from land line. Claim Y87. Valid 12hrs only
spam,Free Msg: Ringtone!From: http://tms. widelive.com/index. wml?id=1b6a5ecef91ff9*37819&first=true18:0430-JUL-05
ham,Can we meet for coffee on Monday? Let me know. Thanks! Ref: 269909
ham,Please review report by Monday. Task #487265. Thanks!
ham,Assignment due Tuesday. Course #469500. Submit via portal.
ham,Please review report by Monday. Task #567416. Thanks!
ham,Can we meet for coffee on Friday? Let me know. Thanks! Ref: 523850
spam,Loan $76545 approved. 7.41% APR. App #587383. Processing $284.
ham,Please review report by Monday. Task #540275. Thanks!
spam,Invoice #512882: Payment $29051 overdue 7 days. Pay immediately or legal action.
ham,Please review report by Monday. Task #949915. Thanks!
ham,Order #317158 shipped. Arrives Tuesday. Total: $577. Track online.
spam,Invoice #231708: Payment $4832 overdue 6 days. Pay immediately or legal action.
ham,Order #471678 shipped. Arrives Friday. Total: $168. Track online.
spam,Call 09095350301 and send our girls into erotic ecstacy. Just 60p/min. To stop texts call 08712460324 (nat rate)
ham,Please review report by Friday. Task #696384. Thanks!
ham,Can we meet for coffee on Monday? Let me know. Thanks! Ref: 461162
ham,No problem. We will be spending a lot of quality time together...
ham,Assignment due Monday. Course #882706. Submit via portal.
ham,Please reserve ticket on saturday eve from chennai to thirunelvali and again from tirunelvali to chennai on sunday eve...i already see in net..no ticket available..i want to book ticket through tackle ..
spam,"Bitcoin investment #405569: Deposit 0.5 BTC, withdraw 5 BTC in 30 days guaranteed."
ham,Assignment due Monday. Course #933190. Submit via portal.
spam,Foreclosure #176744: Pay $19283 by Friday or property auctioned. Call now.
ham,Can we meet for coffee on Monday? Let me know. Thanks! Ref: 417150
spam,WINNER #624010: Won $34713 in lottery. Claim immediately!
spam,Loan $84280 approved. 8.51% APR. App #764434. Processing $336.
spam,WINNER! As a valued network customer you hvae been selected to receive a £900 reward! To collect call 09061701444. Valid 24 hours only. ACL03530150PM
spam,Loan $52862 approved. 2.97% APR. App #779857. Processing $433.
ham,Just now saw your message.it k da:)
ham,All e best 4 ur exam later.
spam,Loan $57615 approved. 4.98% APR. App #163979. Processing $504.
spam,"Bitcoin investment #111732: Deposit 0.5 BTC, withdraw 5 BTC in 30 days guaranteed."
ham,When are you going to ride your bike?
spam,Foreclosure #970434: Pay $47363 by Friday or property auctioned. Call now.
ham,I am on the way to tirupur.
spam,Talk sexy!! Make new friends or fall in love in the worlds most discreet text dating service. Just text VIP to 83110 and see who you could meet.
ham,Please review report by Tuesday. Task #784341. Thanks!
spam,"You have been selected to stay in 1 of 250 top British hotels - FOR NOTHING! Holiday Worth £350! To Claim, Call London 02072069400. Bx 526, SW73SS"
spam,WINNER #221542: Won $38759 in lottery. Claim immediately!
ham,Please review report by Friday. Task #428160. Thanks!
spam,Invoice #342156: Payment $35436 overdue 5 days. Pay immediately or legal action.
ham,Can we meet for coffee on Monday? Let me know. Thanks! Ref: 547075
ham,Please review report by Monday. Task #102635. Thanks!
ham,Can we meet for coffee on Tuesday? Let me know. Thanks! Ref: 865103
ham,Order #364046 shipped. Arrives Monday. Total: $562. Track online.
ham,Are you comingdown later?
spam,"This is the 2nd time we have tried 2 contact u. U have won the 750 Pound prize. 2 claim is easy, call 08718726970 NOW! Only 10p per min. BT-national-rate"
spam,Invoice #973154: Payment $84321 overdue 6 days. Pay immediately or legal action.
spam,I'd like to tell you my deepest darkest fantasies. Call me 09094646631 just 60p/min. To stop texts call 08712460324 (nat rate)
spam,Loan $78045 approved. 9.46% APR. App #789093. Processing $298.
ham,Much better now thanks lol
spam,FREE for 1st week! No1 Nokia tone 4 ur mob every week just txt NOKIA to 87077 Get txting and tell ur mates. zed POBox 36504 W45WQ norm150p/tone 16+
ham,Stop knowing me so well!
spam,Loan $11536 approved. 8.90% APR. App #594685. Processing $227.
spam,PRIVATE! Your 2003 Account Statement for shows 800 un-redeemed S.I.M. points. Call 08715203685 Identifier Code:4xx26 Expires 13/10/04
ham,Assignment due Tuesday. Course #932402. Submit via portal.
spam,Student loan #995853 forgiveness $44319 approved. Claim with $141 processing fee.
spam,Loan $13922 approved. 5.55% APR. App #427689. Processing $571.
ham,HOW ARE U? I HAVE MISSED U! I HAVENT BEEN UP 2 MUCH A BIT BORED WITH THE HOLIDAY WANT 2 GO BAK 2 COLLEGE! SAD ISNT IT?xx
ham,Now got tv 2 watch meh? U no work today?
ham,Assignment due Friday. Course #495672. Submit via portal.
spam,Loan $43954 approved. 5.63% APR. App #504700. Processing $585.
ham,Can we meet for coffee on Friday? Let me know. Thanks! Ref: 349419
ham,"Damn, can you make it tonight or do you want to just wait til tomorrow"
ham,Assignment due Tuesday. Course #633404. Submit via portal.
spam,Student loan #177332 forgiveness $52525 approved. Claim with $316 processing fee.
ham,"Honey ? Sweetheart ? Darling ? Sexy buns ? Sugar plum ? Loverboy ? I miss you, boytoy ... *smacks your ass* Did you go to the gym too ?"
ham,I think it's all still in my car
ham,Where r e meeting tmr?
ham,Can we meet for coffee on Tuesday? Let me know. Thanks! Ref: 161892
ham,Please review report by Tuesday. Task #948485. Thanks!
ham,"I av a new number,  . Wil u only use this one,ta."
ham,Can we meet for coffee on Monday? Let me know. Thanks! Ref: 258772
ham,You still coming tonight?
ham,Where did u go? My phone is gonna die you have to stay in here
ham,"We have sent JD for Customer Service cum Accounts Executive to ur mail id, For details contact us"
spam,"Bitcoin investment #916339: Deposit 0.5 BTC, withdraw 5 BTC in 30 days guaranteed."
ham,DO NOT B LATE LOVE MUM
ham,Order #423344 shipped. Arrives Tuesday. Total: $360. Track online.
spam,Loan $45195 approved. 7.81% APR. App #844268. Processing $429.
spam,"Bitcoin investment #100295: Deposit 0.5 BTC, withdraw 5 BTC in 30 days guaranteed."
spam,Foreclosure #607031: Pay $66844 by Friday or property auctioned. Call now.
ham,Are you the cutest girl in the world or what
ham,HI DARLIN IM MISSIN U HOPE YOU ARE HAVING A GOOD TIME. WHEN ARE U BACK AND WHAT TIME IF U CAN GIVE ME A CALL AT HOME. JESS XX
ham,How many licks does it take to get to the center of a tootsie pop?
ham,Order #815222 shipped. Arrives Friday. Total: $777. Track online.
ham,He's just gonna worry for nothing. And he won't give you money its no use.
spam,Promotion Number: 8714714 - UR awarded a City Break and could WIN a £200 Summer Shopping spree every WK. Txt STORE to 88039 . SkilGme. TsCs087147403231Winawk!Age16 £1.50perWKsub
ham,"Sorry to trouble u again. Can buy 4d for my dad again? 1405, 1680, 1843. All 2 big 1 small, sat n sun. Thanx."
spam,URGENT! We are trying to contact U Todays draw shows that you have won a £800 prize GUARANTEED. Call 09050000460 from land line. Claim J89. po box245c2150pm
ham,Assignment due Monday. Course #873178. Submit via portal.
ham,Can we meet for coffee on Tuesday? Let me know. Thanks! Ref: 796048
ham,Assignment due Friday. Course #603098. Submit via portal.
ham,Can we meet for coffee on Friday? Let me know. Thanks! Ref: 238631
ham,Assignment due Monday. Course #638156. Submit via portal.
spam,Foreclosure #572118: Pay $78801 by Friday or property auctioned. Call now.
ham,I actually did for the first time in a while. I went to bed not too long after i spoke with you. Woke up at 7. How was your night?
spam,"Bitcoin investment #284329: Deposit 0.5 BTC, withdraw 5 BTC in 30 days guaranteed."
ham,Assignment due Friday. Course #288555. Submit via portal.
ham,Can we meet for coffee on Tuesday? Let me know. Thanks! Ref: 420370
ham,Watching tv now. I got new job :)
ham,You're not sure that I'm not trying to make xavier smoke because I don't want to smoke after being told I smoke too much?
spam,WINNER #470164: Won $92224 in lottery. Claim immediately!
ham,Nah im goin 2 the wrks with j wot bout u?
ham,Order #308608 shipped. Arrives Monday. Total: $363. Track online.
ham,Please review report by Tuesday. Task #457219. Thanks!
ham,i thought we were doing a king of the hill thing there.
ham,Wat r u doing?
spam,Adult 18 Content Your video will be with you shortly
ham,How much would it cost to hire a hitman
spam,WINNER #569750: Won $77137 in lottery. Claim immediately!
ham,Can we meet for coffee on Monday? Let me know. Thanks! Ref: 979720
ham,Order #586142 shipped. Arrives Friday. Total: $950. Track online.
ham,Can we meet for coffee on Friday? Let me know. Thanks! Ref: 931940
ham,Can we meet for coffee on Monday? Let me know. Thanks! Ref: 868662
ham,Order #277789 shipped. Arrives Friday. Total: $277. Track online.
ham,"Keep ur problems in ur heart, b'coz nobody will fight for u. Only u &amp; u have to fight for ur self &amp; win the battle. -VIVEKANAND- G 9t.. SD..
ham	Yeah, give me a call if you've got a minute
ham	HI BABE UAWAKE?FEELLIKW SHIT.JUSTFOUND OUT VIA ALETTER THATMUM GOTMARRIED 4thNOV.BEHIND OURBACKS  FUCKINNICE!SELFISH,DEVIOUSBITCH.ANYWAY,IL CALL U"""
ham,Can you do a mag meeting this avo at some point?
spam,Foreclosure #815411: Pay $90633 by Friday or property auctioned. Call now.
ham,Can we meet for coffee on Monday? Let me know. Thanks! Ref: 124390
ham,Assignment due Monday. Course #223996. Submit via portal.
ham,Assignment due Tuesday. Course #448714. Submit via portal.
ham,Yeah. I got a list with only u and Joanna if I'm feeling really anti social
spam,Foreclosure #801096: Pay $84080 by Friday or property auctioned. Call now.
ham,Can we meet for coffee on Tuesday? Let me know. Thanks! Ref: 244310
spam,WINNER #686435: Won $57010 in lottery. Claim immediately!
spam,85233 FREE>Ringtone!Reply REAL
ham,Please review report by Tuesday. Task #892958. Thanks!
spam,WIN a year supply of CDs 4 a store of ur choice worth £500 & enter our £100 Weekly draw txt MUSIC to 87066 Ts&Cs www.Ldew.com.subs16+1win150ppmx3
ham,Goodnight da thangam I really miss u dear.
ham,Can we meet for coffee on Tuesday? Let me know. Thanks! Ref: 332443
spam,"Bitcoin investment #309095: Deposit 0.5 BTC, withdraw 5 BTC in 30 days guaranteed."
ham,Order #616906 shipped. Arrives Monday. Total: $582. Track online.
ham,tap & spile at seven. * Is that pub on gas st off broad st by canal. Ok?
ham,Order #712984 shipped. Arrives Tuesday. Total: $672. Track online.
ham,"That's what I love to hear :V see you sundayish, then"
ham,"Customer place, i wil cal u sir."
ham,"Sorry, it's a lot of friend-of-a-friend stuff, I'm just now about to talk to the actual guy who wants to buy"
ham,Order #428585 shipped. Arrives Friday. Total: $60. Track online.
ham,Order #742128 shipped. Arrives Monday. Total: $106. Track online.
ham,Assignment due Friday. Course #702376. Submit via portal.
ham,I'm not coming home 4 dinner.
ham,Please review report by Friday. Task #209258. Thanks!
ham,Dai what this da.. Can i send my resume to this id.
ham,Desires- u going to doctor 4 liver. And get a bit stylish. Get ur hair managed. Thats it.
ham,"Nothing. I meant that once the money enters your account here, the bank will remove its flat rate. Someone transfered  &lt;#&gt;  to my account and  &lt;#&gt; dollars got removed. So the banks differ and charges also differ.be sure you trust the 9ja person you are sending account details to cos..."
ham,Can we meet for coffee on Tuesday? Let me know. Thanks! Ref: 576159
spam,Foreclosure #678997: Pay $74360 by Friday or property auctioned. Call now.
spam,Had your mobile 11 months or more? U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030
ham,Order #154507 shipped. Arrives Monday. Total: $867. Track online.
ham,Also are you bringing galileo or dobby
ham,Message:some text missing* Sender:Name Missing* *Number Missing *Sent:Date missing *Missing U a lot thats y everything is missing sent via fullonsms.com
ham,Can we meet for coffee on Monday? Let me know. Thanks! Ref: 210475
ham,You unbelievable faglord
spam,Invoice #507641: Payment $74029 overdue 7 days. Pay immediately or legal action.
ham,Assignment due Monday. Course #669082. Submit via portal.
spam,sexy sexy cum and text me im wet and warm and ready for some porn! u up for some fun? THIS MSG IS FREE RECD MSGS 150P INC VAT 2 CANCEL TEXT STOP
ham,Assignment due Tuesday. Course #929694. Submit via portal.
spam,WINNER #507053: Won $52227 in lottery. Claim immediately!
ham,Then ur sis how?
ham,Order #716758 shipped. Arrives Friday. Total: $489. Track online.
ham,Sorry de i went to shop.
spam,Student loan #221923 forgiveness $49171 approved. Claim with $490 processing fee.
ham,Assignment due Tuesday. Course #878955. Submit via portal.
ham,Order #624463 shipped. Arrives Friday. Total: $96. Track online.
spam,Loan $91792 approved. 9.19% APR. App #447567. Processing $295.
ham,Should i buy him a blackberry bold 2 or torch. Should i buy him new or used. Let me know. Plus are you saying i should buy the  &lt;#&gt; g wifi ipad. And what are you saying about the about the  &lt;#&gt; g?
ham,How many times i told in the stage all use to laugh. You not listen aha.
ham,Please review report by Monday. Task #555757. Thanks!
ham,Tell my  bad character which u Dnt lik in me. I'll try to change in  &lt;#&gt; . I ll add tat 2 my new year resolution. Waiting for ur reply.Be frank...good morning.
spam,Foreclosure #720416: Pay $90042 by Friday or property auctioned. Call now.
spam,"Bitcoin investment #368738: Deposit 0.5 BTC, withdraw 5 BTC in 30 days guaranteed."
spam,Foreclosure #486443: Pay $43404 by Friday or property auctioned. Call now.
spam,"Shop till u Drop, IS IT YOU, either 10K, 5K, £500 Cash or £100 Travel voucher, Call now, 09064011000. NTT PO Box CR01327BT fixedline Cost 150ppm mobile vary"
ham,Can we meet for coffee on Tuesday? Let me know. Thanks! Ref: 399907
spam,Loan $62302 approved. 8.35% APR. App #444615. Processing $690.
spam,Loan $77029 approved. 3.93% APR. App #851557. Processing $632.
ham,Do have a nice day today. I love you so dearly.
ham,Hi. Happy New Year. I dont mean to intrude but can you pls let me know how much tuition you paid last semester and how much this semester is. Thanks
ham,Where are you?when wil you reach here?
spam,"Download as many ringtones as u like no restrictions, 1000s 2 choose. U can even send 2 yr buddys. Txt Sir to 80082 £3"
ham,"Finally it has happened..! Aftr decades..! BEER is now cheaper than PETROL! The goverment expects us to ""DRINK"". . . But don't ""DRIVE """
spam,We currently have a message awaiting your collection. To collect your message just call 08718723815.
spam,Invoice #450009: Payment $50347 overdue 6 days. Pay immediately or legal action.
ham,Ill be at yours in about 3 mins but look out for me
spam,"Bitcoin investment #240986: Deposit 0.5 BTC, withdraw 5 BTC in 30 days guaranteed."
ham,Can we meet for coffee on Tuesday? Let me know. Thanks! Ref: 831653
ham,Dhoni have luck to win some big title.so we will win:)
ham,Can we meet for coffee on Friday? Let me know. Thanks! Ref: 872889
ham,Please review report by Friday. Task #922557. Thanks!
spam,okmail: Dear Dave this is your final notice to collect your 4* Tenerife Holiday or #5000 CASH award! Call 09061743806 from landline. TCs SAE Box326 CW25WX 150ppm
ham,"K, jason says he's gonna be around so I'll be up there around  &lt;#&gt;"
ham,Assignment due Tuesday. Course #654137. Submit via portal.
ham,Then just eat a shit and wait for ur monkey face bitch.......... U asshole..................
ham,Order #401400 shipped. Arrives Tuesday. Total: $111. Track online.
spam,Invoice #365661: Payment $70228 overdue 1 days. Pay immediately or legal action.
ham,1's finish meeting call me.
ham,Ok that's great thanx a lot.
ham,"What do you do, my dog ? Must I always wait till the end of your day to have word from you ? Did you run out of time on your cell already?"
ham,Ok cool. See ya then.
spam,Student loan #543907 forgiveness $62259 approved. Claim with $190 processing fee.
ham,Order #163844 shipped. Arrives Monday. Total: $424. Track online.
ham,Order #205151 shipped. Arrives Tuesday. Total: $233. Track online.
spam,Student loan #203917 forgiveness $6904 approved. Claim with $246 processing fee.
ham,Order #752302 shipped. Arrives Friday. Total: $483. Track online.
spam,Foreclosure #667196: Pay $15325 by Friday or property auctioned. Call now.
ham,Did either of you have any idea's? Do you know of anyplaces doing something?
ham,Can we meet for coffee on Friday? Let me know. Thanks! Ref: 757247
ham,Badrith is only for chennai:)i will surely pick for us:)no competition for him.
ham,Can we meet for coffee on Friday? Let me know. Thanks! Ref: 409668
ham,I'm home. Ard wat time will u reach?
ham,Assignment due Tuesday. Course #862870. Submit via portal.
ham,Are you going to wipro interview today?
ham,Our Prashanthettan's mother passed away last night. pray for her and family.
ham,Alex says he's not ok with you not being ok with it
ham,Can we meet for coffee on Monday? Let me know. Thanks! Ref: 317930
spam,"UpgrdCentre Orange customer, you may now claim your FREE CAMERA PHONE upgrade for your loyalty. Call now on 0207 153 9153. Offer ends 26th July. T&C's apply. Opt-out available"
ham,Sary just need Tim in the bollox &it hurt him a lot so he tol me!
ham,Ya had just now.onion roast.
ham,Eh den sat u book e kb liao huh...
ham,"1.20 that call cost. Which i guess isnt bad. Miss ya, need ya, want ya, love ya"
ham,Please review report by Tuesday. Task #360085. Thanks!
ham,Assignment due Friday. Course #527373. Submit via portal.
ham,Assignment due Friday. Course #249192. Submit via portal.
spam,"Bitcoin investment #282872: Deposit 0.5 BTC, withdraw 5 BTC in 30 days guaranteed."
spam,Student loan #907053 forgiveness $92896 approved. Claim with $327 processing fee.
ham,Assignment due Tuesday. Course #805148. Submit via portal.
ham,Now am free call me pa.
spam,Loan $42344 approved. 8.52% APR. App #946791. Processing $478.
ham,All e best 4 ur driving tmr :-)
ham,You also didnt get na hi hi hi hi hi
ham,Order #369048 shipped. Arrives Monday. Total: $132. Track online.
ham,Assignment due Monday. Course #415460. Submit via portal.
ham,Yup ok thanx...
ham,HI DARLIN HOW WAS WORK DID U GET INTO TROUBLE? IJUST TALKED TO YOUR MUM ALL MORNING! I HAD A REALLY GOOD TIME LAST NIGHT IM GOIN OUT SOON BUT CALL ME IF U CAN
spam,"Bitcoin investment #974553: Deposit 0.5 BTC, withdraw 5 BTC in 30 days guaranteed."
ham,Yup but not studying surfing lor. I'm in e lazy mode today.
spam,"Bitcoin investment #783719: Deposit 0.5 BTC, withdraw 5 BTC in 30 days guaranteed."
ham,Order #930475 shipped. Arrives Monday. Total: $438. Track online.
ham,Assignment due Friday. Course #721337. Submit via portal.
ham,"Good afternon, my love. How are today? I hope your good and maybe have some interviews. I wake and miss you babe. A passionate kiss from across the sea"
spam,Loan $75022 approved. 1.83% APR. App #624791. Processing $735.
spam,"Bitcoin investment #274172: Deposit 0.5 BTC, withdraw 5 BTC in 30 days guaranteed."
spam,Student loan #533008 forgiveness $65040 approved. Claim with $142 processing fee.
spam,WINNER #521359: Won $91791 in lottery. Claim immediately!
ham,"Happy or sad , one thing about past is- ""Its no more"" GOOD MORNING :-):-)."
ham,Can we meet for coffee on Friday? Let me know. Thanks! Ref: 726538
ham,"Miss ya, need ya, want ya, love ya."
ham,"Cool, text me when you're ready"
ham,Can we meet for coffee on Friday? Let me know. Thanks! Ref: 895380
spam,Student loan #341761 forgiveness $74826 approved. Claim with $316 processing fee.
spam,Foreclosure #449405: Pay $33149 by Friday or property auctioned. Call now.
ham,Don't make life too stressfull.. Always find time to Laugh.. It may not add years to your Life! But surely adds more life to ur years!! Gud ni8..swt dreams..
ham,Order #571949 shipped. Arrives Monday. Total: $912. Track online.
ham,Oh baby of the house. How come you dont have any new pictures on facebook
ham,Do you know when the result.
ham,Assignment due Friday. Course #161210. Submit via portal.
ham,Please review report by Tuesday. Task #639031. Thanks!
spam,Invoice #559463: Payment $65666 overdue 3 days. Pay immediately or legal action.
spam,Invoice #693559: Payment $10818 overdue 1 days. Pay immediately or legal action.
ham,I know you are. Can you pls open the back?
ham,Can we meet for coffee on Tuesday? Let me know. Thanks! Ref: 237587
ham,Good night my dear.. Sleepwell&amp;Take care
spam,Student loan #205949 forgiveness $11777 approved. Claim with $195 processing fee.
ham,Order #498904 shipped. Arrives Friday. Total: $569. Track online.
spam,U are subscribed to the best Mobile Content Service in the UK for £3 per 10 days until you send STOP to 82324. Helpline 08706091795
spam,I am hot n horny and willing I live local to you - text a reply to hear strt back from me 150p per msg Netcollex LtdHelpDesk: 02085076972 reply Stop to end
ham,Please review report by Tuesday. Task #816830. Thanks!
spam,Invoice #886272: Payment $21339 overdue 7 days. Pay immediately or legal action.
ham,Order #265185 shipped. Arrives Monday. Total: $659. Track online.
ham,Can we meet for coffee on Monday? Let me know. Thanks! Ref: 903186
ham,Please review report by Tuesday. Task #524233. Thanks!
ham,Please review report by Friday. Task #789595. Thanks!
ham,Assignment due Tuesday. Course #290324. Submit via portal.
ham,Order #828971 shipped. Arrives Tuesday. Total: $979. Track online.
ham,Order #397014 shipped. Arrives Monday. Total: $139. Track online.
ham,Sian... Aft meeting supervisor got work 2 do liao... U working now?
ham,Order #659071 shipped. Arrives Tuesday. Total: $313. Track online.
spam,"Bitcoin investment #484537: Deposit 0.5 BTC, withdraw 5 BTC in 30 days guaranteed."
ham,Order #168173 shipped. Arrives Tuesday. Total: $478. Track online.
ham,Anything lar then ü not going home 4 dinner?
spam,"Bitcoin investment #770868: Deposit 0.5 BTC, withdraw 5 BTC in 30 days guaranteed."
ham,Can we meet for coffee on Monday? Let me know. Thanks! Ref: 258872
spam,Invoice #184206: Payment $36948 overdue 7 days. Pay immediately or legal action.
ham,Please review report by Friday. Task #629577. Thanks!
ham,Oh is it? Send me the address
spam,"You can stop further club tones by replying ""STOP MIX"" See my-tone.com/enjoy. html for terms. Club tones cost GBP4.50/week. MFL, PO Box 1146 MK45 2WT (2/3)"
ham,Can we meet for coffee on Friday? Let me know. Thanks! Ref: 183835
ham,Can we meet for coffee on Friday? Let me know. Thanks! Ref: 175844
ham,Order #282645 shipped. Arrives Tuesday. Total: $306. Track online.
